make,model,year,engine_fuel_type,engine_hp,engine_cylinders,transmission_type,driven_wheels,number_of_doors,market_category,vehicle_size,vehicle_style,highway_mpg,city_mpg,popularity
10660,ford,transit_connect,2016,regular_unleaded,169.0,6,automatic,front_wheel_drive,2,,compact,cargo_minivan,29,21,5657
4140,cadillac,escalade_hybrid,2011,regular_unleaded,332.0,6,automatic,rear_wheel_drive,2,"luxury,hybrid",large,4dr_suv,23,20,1624
11414,chrysler,voyager,2002,flex-fuel_(unleaded/e85),180.0,6,automatic,front_wheel_drive,2,,large,passenger_minivan,22,16,1013
5119,infiniti,g_sedan,2013,premium_unleaded_(required),328.0,6,manual,rear_wheel_drive,2,"luxury,high-performance",midsize,sedan,25,17,190
2639,chevrolet,c/k_1500_series,1998,regular_unleaded,200.0,6,manual,four_wheel_drive,2,,large,extended_cab_pickup,19,14,1385
6872,lincoln,mkt,2015,regular_unleaded,303.0,6,automatic,front_wheel_drive,2,"crossover,luxury",large,wagon,25,17,61
3919,lotus,elise,2011,premium_unleaded_(required),217.0,6,manual,rear_wheel_drive,2,"exotic,high-performance",compact,convertible,26,20,613
9059,chrysler,sebring,2009,regular_unleaded,173.0,6,automatic,front_wheel_drive,2,,midsize,sedan,30,21,1013
3404,mazda,cx-9,2014,regular_unleaded,273.0,6,automatic,front_wheel_drive,2,"crossover,performance",large,4dr_suv,24,17,586
8927,volvo,s70,2000,regular_unleaded,190.0,6,automatic,all_wheel_drive,2,luxury,midsize,sedan,23,16,870
1379,audi,allroad,2014,premium_unleaded_(recommended),220.0,6,automatic,all_wheel_drive,2,luxury,midsize,wagon,27,20,3105
10172,toyota,tacoma,2015,regular_unleaded,159.0,6,manual,rear_wheel_drive,2,,compact,extended_cab_pickup,25,21,2031
4784,ford,focus,2015,flex-fuel_(unleaded/e85),160.0,6,automated_manual,front_wheel_drive,2,"hatchback,flex_fuel",compact,4dr_hatchback,40,27,5657
11699,suzuki,xl7,2007,regular_unleaded,252.0,6,automatic,all_wheel_drive,2,crossover,midsize,4dr_suv,21,16,481
6077,volkswagen,jetta_sportwagen,2013,regular_unleaded,170.0,6,automatic,front_wheel_drive,2,,compact,wagon,31,24,873
4327,ford,expedition,2016,regular_unleaded,365.0,6,automatic,four_wheel_drive,2,,large,4dr_suv,20,14,5657
10015,dodge,stratus,2005,regular_unleaded,200.0,6,automatic,front_wheel_drive,2,performance,midsize,sedan,25,19,1851
11706,suzuki,xl7,2008,regular_unleaded,252.0,6,automatic,all_wheel_drive,2,crossover,midsize,4dr_suv,22,15,481
527,bmw,5_series,2016,premium_unleaded_(required),240.0,6,automatic,rear_wheel_drive,2,luxury,large,sedan,34,23,3916
11544,scion,xb,2013,regular_unleaded,158.0,6,automatic,front_wheel_drive,2,,compact,wagon,28,22,105
6776,acura,mdx,2016,premium_unleaded_(recommended),290.0,6,automatic,front_wheel_drive,2,"crossover,luxury",midsize,4dr_suv,27,20,204
